,name,address,sido,gugun
0,가경동점,충청북도 청주시흥덕구 풍산로 103(복대동),충청북도,청주시흥덕구
1,가남점,경기도 여주시 가남면 태평중앙1길 8-6,경기도,여주시
2,가래비점,경기도 양주시 광적면 가납리 가래비길 24,경기도,양주시
3,가마점,"충청북도 청주시서원구 남이면 청남로  1827-25, 1층",충청북도,청주시서원구
4,가수원점,대전광역시 서구 가수원동 774-18,대전광역시,서구
5,가양동점,"서울특별시 강서구 양천로51길 11, 1층 102호(가양동,신환빌딩)",서울특별시,강서구
6,가오점,대전광역시 동구 가오동 533,대전광역시,동구
7,가운점,경기도 남양주시 가운로2길 63 가운동삼원프라자 105호,경기도,남양주시
8,가장점,대전광역시 서구 가장동 40-40,대전광역시,서구
9,가정지구1점,인천광역시 서구 봉오재2로 37 104호,인천광역시,서구
10,가좌3점,인천광역시 서구 가석로156번길 23-1,인천광역시,서구
11,가평역전점,경기도 가평군 가평읍 굴다리길 13,경기도,가평군
12,가평점,경기도 가평군 가평읍 가화로 125-1,경기도,가평군
13,가평현리점,"경기도 가평군 조종면  현창로 50, 1층",경기도,가평군
14,가흥점,경상북도 영주시 가흥동 530 시영상가 나동 102호,경상북도,영주시
15,각화주공점,광주광역시 북구 각화동 202번지 주공@상가 107호,광주광역시,북구
16,간현점,강원도 원주시 지정면 간현로 188,강원도,원주시
17,갈곶원동점,경기도 오산시 갈곶동 126-23,경기도,오산시
18,갈마점,대전광역시 서구 갈마로 60(갈마동),대전광역시,서구
19,갈산점,인천광역시 부평구 갈산동 364-4,인천광역시,부평구
20,갈산점(이천),"경기도 이천시 갈산로 81(갈산동, 102)",경기도,이천시
21,갈산점(홍성),충청남도 홍성군 갈산면 상촌리 243,충청남도,홍성군
22,감곡점,충청북도 음성군 감곡면 장감로 142,충청북도,음성군
23,감삼점,대구광역시 달서구 두류3동 630-1,대구광역시,달서구
24,강경점,충청남도 논산시 강경읍 대흥리 19-3,충청남도,논산시
25,강구점,경상북도 영덕군 강구면 강구리 453번지,경상북도,영덕군
26,강남구청점,서울특별시 강남구 삼성로119길 41. 1층(삼성동),서울특별시,강남구
27,강남대점,경기도 용인시기흥구 강남동로 114번길 22,경기도,용인시기흥구
28,강남점,대구광역시 동구 신암로16길 2,대구광역시,동구
29,강릉교동점,강원도 강릉시 강릉대로 269 (교동),강원도,강릉시
30,강릉대점,강원도 강릉시  율곡초교길39번  23(교동),강원도,강릉시
31,강릉서부점,강원도 강릉시 임영로 170-3(임당동),강원도,강릉시
32,강릉옥계점,강원도 강릉시  옥계면 현내시장길 59,강원도,강릉시
33,강릉옥천동점,강원도 강릉시  경강로 2166 1층(옥천동),강원도,강릉시
34,강릉유천점,강원도 강릉시  선수촌로 63번길 5 우미린상가106,강원도,강릉시
35,강북점,대구광역시 북구 읍내동 803-1,대구광역시,북구
36,강상점,"경기도 양평군 강상면 강남로 922, 107호",경기도,양평군
37,강선점,경기도 고양시일산서구 강선로 67번지 유원상가 103호,경기도,고양시일산서구
38,강진점,전라남도 강진군 강진읍 탐진로 76-1,전라남도,강진군
39,강화1점,인천광역시 강화군 강화읍 강화대로403번길 5,인천광역시,강화군
40,강화2점,인천광역시 강화군 강화읍 남산리 39-1,인천광역시,강화군
