,name,address,sido,gugun
0,전남해남군우수영점,전남 해남군 문내면 동영길,전남,해남군
1,전남고흥군녹동점,전남 고흥군 도양읍 비봉로,전남,고흥군
2,광주북구문흥점,광주 북구 면앙로,광주,북구
3,전남무안군무안점,전남 무안군 무안읍 하마로,전남,무안군
4,광주남구봉선1점,광주 남구 봉선로,광주,남구
5,광주광산구신가점,광주 광산구 신창로,광주,광산구
6,전남무안군남악점,전남 무안군 삼향읍 남악로,전남,무안군
7,전남목포시삼학점,전남 목포시 산정로,전남,목포시
8,전남나주시나주혁신도시점,전남 나주시 빛가람로,전남,나주시
9,광주북구첨단2지구점,광주 북구 임방울대로,광주,북구
10,광주동구산수점,광주 동구 산수길 33,광주,동구
11,전남나주시나주점,전남 나주시 나주로,전남,나주시
12,전남영암군삼호점,전남 영암군 삼호읍 대불주거로,전남,영암군
13,광주광산구산정점,광주 광산구 하남대로,광주,광산구
14,광주서구동천점,광주 서구 동천로,광주,서구
15,전남담양군담양점,전남 담양군 담양읍 죽향대로,전남,담양군
16,광주서구상무점,광주 서구 상무평화로,광주,서구
17,광주광산구우산소촌점(B),광주 광산구 무진대로,광주,광산구
18,광주북구신안점,광주 북구 중가로,광주,북구
19,제주제주시노형점,제주 제주시 원노형로,제주,제주시
20,제주제주시외도점,제주 제주시 우령2길,제주,제주시
21,제주제주시화북삼양점,제주 제주시 진남로,제주,제주시
22,제주서귀포시서귀포1점,제주 서귀포시 일주동로,제주,서귀포시
23,제주서귀포시성산점,제주 서귀포시 성산읍 고성동서로,제주,서귀포시
24,제주서귀포시서귀포2호점,제주 서귀포시 장수로,제주,서귀포시
25,제주제주시도남점,제주 제주시 독짓골길,제주,제주시
26,제주서귀포시강정해군기지점,제주 서귀포시 강정동,제주,서귀포시
27,제주서귀포시신시가지점,제주 서귀포시 신북로,제주,서귀포시
28,제주서귀포시대정점,제주 서귀포시 대정읍 하모항구로6번길,제주,서귀포시
29,제주서귀포시표선점,제주 서귀포시 표선면 표선동서로,제주,서귀포시
30,제주제주시일도점,제주 제주시 청귤로,제주,제주시
31,제주제주시연동점,제주 제주시 연동길,제주,제주시
32,제주제주시한림점,제주 제주시 한림읍 한림로,제주,제주시
33,제주제주시아라점,제주 제주시 중앙로,제주,제주시
34,제주제주시조천함덕점,제주 제주시 조천읍 함덕길,제주,제주시
35,제주서귀포시화순안덕점,제주 서귀포시 안덕면 일주서로,제주,서귀포시
36,제주제주시용담점,제주 제주시 용문로,제주,제주시
37,제주제주시봉개점,제주 제주시 번영로,제주,제주시
38,제주서귀포시중문점,제주 서귀포시 천제연로,제주,서귀포시
